MaxErr,SKO,Span,s22,c22,s31,c31
0.200587,0.512754,3.24569,0.3,-0.8,-0.7,-0.8
0.263977,0.630476,3.8348,-0.9,-0.6,0.9,0.9
0.297974,0.681298,4.08593,-1,-0.9,0.7,0.9
0.212225,0.492866,2.97422,-0.6,0.5,0.7,-0.8
0.19847,0.549242,3.41396,0.6,-0.7,-0.8,-0.8
0.19847,0.549242,3.41396,0.6,-0.7,-0.8,-0.8
0.269232,0.652878,4.13691,-0.9,-0.9,0.5,-1
0.21774,0.473902,2.85384,0.5,-0.5,0.7,-0.8
0.254344,0.630806,3.98015,-0.7,-0.9,0.9,0.8
0.256319,0.655426,4.09053,-0.7,-1,0.8,0.9
0.215192,0.499583,2.95553,-0.7,-0.4,0.7,0.8
0.228924,0.511534,3.14757,0.5,-0.6,0.8,-0.8
0.228924,0.511534,3.14757,0.5,-0.6,0.8,-0.8
0.265787,0.623832,3.67744,-1,-0.6,-0.9,0.7
0.265787,0.623832,3.67744,-1,-0.6,-0.9,0.7
0.210742,0.555278,3.36235,-0.8,-0.5,-0.8,0.8
0.210742,0.555278,3.36235,-0.8,-0.5,-0.8,0.8
0.255221,0.64291,3.95045,-1,-0.5,-0.8,1
0.266606,0.657013,4.0663,-0.6,-1,0.8,1
0.268599,0.671751,4.11932,-0.9,-0.9,0.8,0.9
0.222952,0.630806,3.98015,-0.7,-0.9,-0.8,0.9
0.242312,0.666458,4.11294,-0.9,-0.8,-0.9,0.9
0.27959,0.621825,3.57571,-0.9,-0.8,0.4,1
0.241671,0.706812,4.39487,-0.8,-1,-1,0.9
0.198395,0.504563,3.22174,0.2,-0.8,-0.7,-0.8
0.28456,0.64291,3.95045,-1,0.5,1,-0.8
0.28456,0.64291,3.95045,-1,0.5,1,-0.8
1.99E-01,0.496655,3.13912,-0.3,-0.8,-0.6,0.8
0.247112,0.646787,3.90113,-0.7,-1,-1,0.6
0.225329,0.518009,3.21806,0.4,-0.7,0.8,-0.8
0.225329,0.518009,3.21806,0.4,-0.7,0.8,-0.8
0.275464,0.669266,3.95415,-1,-0.9,-0.9,0.6
0.24558,0.621825,3.9636,-0.7,-0.9,-1,-0.6
0.285308,0.646787,4.08869,-1,-0.8,0.4,-1
0.275067,0.641613,3.79871,-0.9,-0.4,1,1
0.275067,0.641613,3.79871,-0.9,-0.4,1,1
0.196884,0.518009,3.21806,0.4,-0.7,-0.8,-0.8
0.196884,0.518009,3.21806,0.4,-0.7,-0.8,-0.8
0.197564,0.532291,3.24198,-0.7,-0.5,-0.8,0.8
0.202654,0.538129,3.30147,-0.8,-0.5,-0.7,0.8
0.202654,0.538129,3.30147,-0.8,-0.5,-0.7,0.8
0.25868,0.6733,4.1647,-0.7,-1,0.8,1
0.275105,0.642586,3.73269,-1,-0.6,-1,0.7
0.275105,0.642586,3.73269,-1,-0.6,-1,0.7
0.201146,0.531899,3.31543,-0.7,-0.6,-0.7,0.8
0.201146,0.531899,3.31543,-0.7,-0.6,-0.7,0.8
0.252316,0.62283,3.68775,-0.9,-0.8,-0.9,0.6
0.223808,0.506623,3.18426,-0.3,-0.7,0.8,0.8
0.223808,0.506623,3.18426,-0.3,-0.7,0.8,0.8
0.263051,0.691616,4.15155,-1,-0.8,-1,0.8
0.224387,0.498331,3.15265,-0.2,-0.7,0.8,0.8
0.224387,0.498331,3.15265,-0.2,-0.7,0.8,0.8
0.297963,0.620148,3.67925,-1,-0.7,0.3,1
3.54E-01,0.668331,4.03117,-0.9,-0.8,-1,0.8
0.192783,0.495816,3.02898,-0.7,-0.5,-0.7,0.7
0.258577,0.64291,3.96901,-0.5,-1,0.8,1
0.247368,0.742743,4.62505,-0.9,-1,-1,1
0.238463,0.70445,4.32527,-0.9,-0.9,-1,0.9
0.211201,0.499583,3.20885,-0.1,-0.8,0.7,-0.8
0.211201,0.499583,3.20885,0.1,-0.8,0.7,0.8
0.190363,0.491596,3.13726,-0.6,-0.7,-0.8,-0.4
0.190363,0.491596,3.13726,-0.6,-0.7,-0.8,-0.4
0.244799,0.641613,3.79871,-0.9,0.4,-1,-1
0.197929,0.511534,3.14757,-0.5,-0.6,-0.8,0.8
0.197929,0.511534,3.14757,-0.5,-0.6,-0.8,0.8
0.188118,0.492866,2.97422,0.6,-0.5,-0.8,-0.7
0.188118,0.492866,2.97422,-0.6,-0.5,-0.8,0.7
0.252316,0.621825,3.95091,-0.8,-0.9,-1,-0.4
3.03E-01,0.64291,3.95045,-1,-0.5,-0.8,1
0.201129,0.536967,3.38888,-0.7,-0.7,-0.6,0.8
0.201129,0.536967,3.38888,-0.7,-0.7,-0.6,0.8
0.247372,0.630806,4.01653,-0.8,-0.9,-1,-0.5
0.232012,0.62283,3.91608,-0.9,-0.8,-0.6,0.9
0.254409,0.706812,4.38069,-1,-0.8,-0.9,1
0.252623,0.671441,4.09424,-1,-0.7,-0.9,-0.9
0.255672,0.691616,4.31507,-1,-0.8,-0.8,1
7.94E-01,0.538129,3.30147,-0.8,0.5,-0.7,-0.8
0.251375,0.66552,4.03949,-0.9,-0.7,-0.9,-1
0.259716,0.64291,3.95045,-1,-0.5,-1,-0.8
0.216945,0.571548,3.50142,0.8,-0.6,-0.8,-0.8
0.216945,0.571548,3.50142,-0.8,-0.6,-0.8,0.8
0.216945,0.571548,3.50142,-0.8,-0.6,-0.8,0.8
0.257693,0.665833,3.86031,-1,-0.8,-0.6,-1
0.26439,0.640963,3.84945,-1,0.5,-0.9,-0.9
0.26439,0.640963,3.84945,-1,0.5,-0.9,-0.9
0.284263,0.530723,3.35226,0.3,-0.8,-0.8,-0.8
0.284263,0.530723,3.35226,0.3,-0.8,-0.8,-0.8
0.256863,0.69851,4.40721,-0.9,-1,-0.7,1
0.256169,0.672991,4.02079,-1,-0.6,-0.9,-1
0.256169,0.672991,4.02079,-1,-0.6,-0.9,-1
0.200919,0.518009,3.21806,-0.4,-0.7,-0.8,0.8
0.200919,0.518009,3.21806,-0.4,-0.7,-0.8,0.8
0.253199,0.628159,3.60371,-1,0.5,-0.7,1
0.234121,0.617454,3.86301,-0.9,-0.6,-1,-0.7
0.252059,0.643881,4.0406,-0.8,-1,-0.7,0.8
0.255805,0.677926,4.30417,-0.8,-1,-1,-0.7
0.269339,0.6733,4.1807,-1,-0.7,-0.8,1
